SERIES,DESCRIPTION
IUDBEDR,Official Bank Rate
IUDSOIA,Daily Sterling overnight index average (SONIA) lending rate
XUDLDS1,Forward exchange rate - 1 month - US$ into Sterling
XUDLERS,Spot exchange rate - Euro into Sterling
XUDLUSS,Spot exchange rate - US $ into Sterling

DATE,IUDBEDR,IUDSOIA,XUDLDS1,XUDLERS,XUDLUSS
04 Jan 2000,5.5,4.591,1.6354,1.5874,1.6352
05 Jan 2000,5.5,4.4584,1.6392,1.5862,1.639
06 Jan 2000,5.5,4.9208,1.648,1.5921,1.6478
07 Jan 2000,5.5,4.4172,1.6374,1.5909,1.6372
10 Jan 2000,5.5,4.2968,1.6379,1.5956,1.6377
11 Jan 2000,5.5,3.9486,1.647,1.5994,1.6469
12 Jan 2000,5.5,3.6436,1.6463,1.6025,1.6462
13 Jan 2000,5.75,5.5285,1.6493,1.6056,1.6491
14 Jan 2000,5.75,5.0126,1.6351,1.6152,1.6349
17 Jan 2000,5.75,5.4604,1.6316,1.6174,1.6315
18 Jan 2000,5.75,5.5056,1.6378,1.6199,1.6376
19 Jan 2000,5.75,6.1642,1.6403,1.6242,1.6403
20 Jan 2000,5.75,6.0458,1.6492,1.6332,1.6492
21 Jan 2000,5.75,5.8912,1.6506,1.6391,1.6506
24 Jan 2000,5.75,5.8686,1.6521,1.6483,1.6521
25 Jan 2000,5.75,6.0595,1.6498,1.6392,1.6499
26 Jan 2000,5.75,6.0749,1.6405,1.6382,1.6405
27 Jan 2000,5.75,6.5169,1.6373,1.6565,1.6373
28 Jan 2000,5.75,6.0424,1.6198,1.6529,1.6198
31 Jan 2000,5.75,6.606,1.6209,1.6574,1.6209
01 Feb 2000,5.75,6.1338,1.6145,1.6598,1.6145
02 Feb 2000,5.75,5.8505,1.6044,1.6498,1.6043
03 Feb 2000,5.75,5.8447,1.6029,1.6288,1.6029
04 Feb 2000,5.75,5.6334,1.5885,1.6214,1.5886
07 Feb 2000,5.75,5.2398,1.5897,1.6246,1.5898
08 Feb 2000,5.75,5.0384,1.6112,1.6333,1.6114
09 Feb 2000,5.75,4.6908,1.6103,1.6271,1.6105
10 Feb 2000,6,6.2416,1.6051,1.6289,1.6054
11 Feb 2000,6,5.8519,1.5945,1.6182,1.5947
14 Feb 2000,6,5.9246,1.5879,1.6215,1.5881
15 Feb 2000,6,6.0684,1.5969,1.6241,1.5971
16 Feb 2000,6,6.227,1.6019,1.6291,1.6022
17 Feb 2000,6,5.73,1.6064,1.6291,1.6066
18 Feb 2000,6,6.1442,1.5967,1.6212,1.5969
21 Feb 2000,6,5.8418,1.5979,1.6192,1.598
22 Feb 2000,6,6.1601,1.6148,1.6038,1.615
23 Feb 2000,6,5.8504,1.6046,1.5987,1.6048
24 Feb 2000,6,6.3514,1.6013,1.6078,1.6015
25 Feb 2000,6,5.9295,1.5943,1.6289,1.5945
28 Feb 2000,6,5.8994,1.5901,1.6446,1.5903
29 Feb 2000,6,6.0053,1.5789,1.64,1.579
01 Mar 2000,6,6.241,1.5844,1.637,1.5845
02 Mar 2000,6,6.3003,1.5796,1.635,1.5797
03 Mar 2000,6,5.8338,1.5812,1.6439,1.5813
06 Mar 2000,6,5.9165,1.5732,1.6365,1.5732
07 Mar 2000,6,6.2693,1.5811,1.651,1.5812
08 Mar 2000,6,5.9069,1.5823,1.6537,1.5824
09 Mar 2000,6,5.7663,1.5823,1.6323,1.5822
10 Mar 2000,6,5.4667,1.5788,1.6366,1.5787
13 Mar 2000,6,5.4238,1.5792,1.6331,1.579
14 Mar 2000,6,5.2997,1.5709,1.6314,1.5707
15 Mar 2000,6,5.2697,1.5724,1.6222,1.5722
16 Mar 2000,6,5.1976,1.5771,1.6207,1.5768
