SERIES,DESCRIPTION
XUDLERS,Spot exchange rate - Euro into Sterling
XUDLUSS,Spot exchange rate - US $ into Sterling

DATE,XUDLERS,XUDLUSS
04 Jan 2000,1.5874,1.6352
05 Jan 2000,1.5862,1.639
06 Jan 2000,1.5921,1.6478
07 Jan 2000,1.5909,1.6372
10 Jan 2000,1.5956,1.6377
11 Jan 2000,1.5994,1.6469
12 Jan 2000,1.6025,1.6462
13 Jan 2000,1.6056,1.6491
14 Jan 2000,1.6152,1.6349
17 Jan 2000,1.6174,1.6315
18 Jan 2000,1.6199,1.6376
19 Jan 2000,1.6242,1.6403
20 Jan 2000,1.6332,1.6492
21 Jan 2000,1.6391,1.6506
24 Jan 2000,1.6483,1.6521
25 Jan 2000,1.6392,1.6499
26 Jan 2000,1.6382,1.6405
27 Jan 2000,1.6565,1.6373
28 Jan 2000,1.6529,1.6198
31 Jan 2000,1.6574,1.6209
01 Feb 2000,1.6598,1.6145
02 Feb 2000,1.6498,1.6043
03 Feb 2000,1.6288,1.6029
04 Feb 2000,1.6214,1.5886
07 Feb 2000,1.6246,1.5898
08 Feb 2000,1.6333,1.6114
09 Feb 2000,1.6271,1.6105
10 Feb 2000,1.6289,1.6054
11 Feb 2000,1.6182,1.5947
14 Feb 2000,1.6215,1.5881
15 Feb 2000,1.6241,1.5971
16 Feb 2000,1.6291,1.6022
17 Feb 2000,1.6291,1.6066
18 Feb 2000,1.6212,1.5969
21 Feb 2000,1.6192,1.598
22 Feb 2000,1.6038,1.615
23 Feb 2000,1.5987,1.6048
24 Feb 2000,1.6078,1.6015
25 Feb 2000,1.6289,1.5945
28 Feb 2000,1.6446,1.5903
29 Feb 2000,1.64,1.579
01 Mar 2000,1.637,1.5845
02 Mar 2000,1.635,1.5797
03 Mar 2000,1.6439,1.5813
06 Mar 2000,1.6365,1.5732
07 Mar 2000,1.651,1.5812
08 Mar 2000,1.6537,1.5824
09 Mar 2000,1.6323,1.5822
10 Mar 2000,1.6366,1.5787
13 Mar 2000,1.6331,1.579
14 Mar 2000,1.6314,1.5707
15 Mar 2000,1.6222,1.5722
16 Mar 2000,1.6207,1.5768
17 Mar 2000,1.6228,1.5717
20 Mar 2000,1.615,1.5657
21 Mar 2000,1.6237,1.5771
22 Mar 2000,1.6307,1.5676
23 Mar 2000,1.6304,1.5818
24 Mar 2000,1.6347,1.5883
27 Mar 2000,1.6399,1.5915
28 Mar 2000,1.6396,1.5855
29 Mar 2000,1.6625,1.585
30 Mar 2000,1.6675,1.5938
31 Mar 2000,1.6662,1.5952
03 Apr 2000,1.6683,1.5956
04 Apr 2000,1.6725,1.5962
05 Apr 2000,1.6482,1.5915
06 Apr 2000,1.6502,1.5827
07 Apr 2000,1.6507,1.5822
10 Apr 2000,1.6494,1.5831
11 Apr 2000,1.6502,1.5883
12 Apr 2000,1.6567,1.587
13 Apr 2000,1.663,1.5887
14 Apr 2000,1.66,1.5873
17 Apr 2000,1.6618,1.5865
18 Apr 2000,1.662,1.5777
19 Apr 2000,1.6798,1.58
20 Apr 2000,1.6823,1.5805
25 Apr 2000,1.7031,1.5795
26 Apr 2000,1.7114,1.5805
27 Apr 2000,1.7284,1.5754
28 Apr 2000,1.7166,1.5638
02 May 2000,1.7207,1.5619
03 May 2000,1.752,1.5623
04 May 2000,1.7315,1.5445
05 May 2000,1.7102,1.5272
08 May 2000,1.7115,1.5299
09 May 2000,1.6983,1.5324
10 May 2000,1.6695,1.5216
11 May 2000,1.6621,1.5015
12 May 2000,1.6721,1.5154
15 May 2000,1.6536,1.5154
16 May 2000,1.6542,1.4972
17 May 2000,1.6728,1.4905
18 May 2000,1.6574,1.4809
19 May 2000,1.6624,1.4844
22 May 2000,1.652,1.4934
23 May 2000,1.6266,1.4778
24 May 2000,1.6228,1.4727
25 May 2000,1.6245,1.4728
26 May 2000,1.6031,1.484
30 May 2000,1.6059,1.4975
31 May 2000,1.612,1.495
01 Jun 2000,1.6031,1.4928
02 Jun 2000,1.5964,1.5072
05 Jun 2000,1.6006,1.5113
06 Jun 2000,1.589,1.5234
07 Jun 2000,1.5874,1.519
08 Jun 2000,1.5832,1.5091
09 Jun 2000,1.582,1.5043
12 Jun 2000,1.5855,1.5121
13 Jun 2000,1.5759,1.5135
14 Jun 2000,1.5665,1.5032
15 Jun 2000,1.5813,1.5062
16 Jun 2000,1.5772,1.5155
19 Jun 2000,1.5751,1.5124
20 Jun 2000,1.5778,1.5077
21 Jun 2000,1.5842,1.4988
22 Jun 2000,1.6088,1.5115
23 Jun 2000,1.6041,1.5022
26 Jun 2000,1.6006,1.5004
27 Jun 2000,1.5898,1.4992
28 Jun 2000,1.5974,1.5111
29 Jun 2000,1.5953,1.5203
30 Jun 2000,1.5795,1.5141
03 Jul 2000,1.5909,1.5136
04 Jul 2000,1.5945,1.5153
05 Jul 2000,1.5813,1.5125
06 Jul 2000,1.5848,1.5146
07 Jul 2000,1.5964,1.5153
10 Jul 2000,1.5892,1.5137
11 Jul 2000,1.5924,1.5142
12 Jul 2000,1.6035,1.5137
13 Jul 2000,1.6044,1.5003
14 Jul 2000,1.602,1.5017
17 Jul 2000,1.5972,1.4931
18 Jul 2000,1.6039,1.4952
19 Jul 2000,1.6169,1.4945
20 Jul 2000,1.6269,1.5037
21 Jul 2000,1.6241,1.5143
24 Jul 2000,1.6238,1.5152
25 Jul 2000,1.6132,1.5187
26 Jul 2000,1.6106,1.5175
27 Jul 2000,1.6136,1.5155
28 Jul 2000,1.6229,1.5044
31 Jul 2000,1.6158,1.4975
01 Aug 2000,1.621,1.5002
02 Aug 2000,1.635,1.4942
03 Aug 2000,1.654,1.4962
04 Aug 2000,1.6574,1.5061
07 Aug 2000,1.6608,1.5087
08 Aug 2000,1.6721,1.5042
09 Aug 2000,1.6725,1.5012
10 Aug 2000,1.6505,1.5
11 Aug 2000,1.6616,1.5034
14 Aug 2000,1.6661,1.5063
15 Aug 2000,1.6497,1.5067
16 Aug 2000,1.6446,1.4992
17 Aug 2000,1.6383,1.4987
18 Aug 2000,1.6438,1.4939
21 Aug 2000,1.6512,1.4922
22 Aug 2000,1.653,1.4846
23 Aug 2000,1.6556,1.4801
24 Aug 2000,1.641,1.4812
25 Aug 2000,1.6289,1.4745
29 Aug 2000,1.6293,1.4602
30 Aug 2000,1.6292,1.4555
31 Aug 2000,1.6364,1.4548
01 Sep 2000,1.6235,1.4608
04 Sep 2000,1.6241,1.461
05 Sep 2000,1.6325,1.4508
06 Sep 2000,1.6526,1.4508
07 Sep 2000,1.6468,1.4342
08 Sep 2000,1.6428,1.423
11 Sep 2000,1.6441,1.418
12 Sep 2000,1.635,1.4058
13 Sep 2000,1.6332,1.4114
14 Sep 2000,1.6349,1.4085
15 Sep 2000,1.6303,1.4063
18 Sep 2000,1.6413,1.4007
19 Sep 2000,1.6477,1.4065
20 Sep 2000,1.6678,1.4135
21 Sep 2000,1.6676,1.4223
