SERIES,DESCRIPTION
IUMAAJNB,Monthly average rate of discount - 3 month Treasury bills - Sterling
IUMAJNB,End month level of discount rate - 3 month Treasury bills - Sterling
IUMAVNEA,Monthly average Sterling 1 month mean interbank lending rate

IUMVNEA,End month Sterling 1 month mean interbank lending rate 

XUMAERS,Monthly average Spot exchange rate - Euro into Sterling
XUMAUSS,Monthly average Spot exchange rate - US$ into Sterling
XUMLERS,End month Spot exchange rate - Euro into Sterling
XUMLUSS,End month Spot exchange rate - US$ into Sterling

DATE,IUMAAJNB,IUMAJNB,IUMAVNEA,IUMVNEA,XUMAERS,XUMAUSS,XUMLERS,XUMLUSS
31 Jan 2000,5.7218,5.7646,5.7627,5.9844,1.6201,1.6402,1.6574,1.6209
29 Feb 2000,5.8346,5.8426,6.0597,6.0782,1.6266,1.5998,1.64,1.579
31 Mar 2000,5.8582,5.8425,5.9733,5.9844,1.6377,1.5802,1.6662,1.5952
30 Apr 2000,5.9178,5.9577,5.9932,6.1251,1.673,1.5837,1.7166,1.5638
31 May 2000,5.9501,5.95,6.0686,6.0469,1.6655,1.5075,1.612,1.495
30 Jun 2000,5.8535,5.846,6.0149,5.9844,1.5882,1.5089,1.5795,1.5141
31 Jul 2000,5.8333,5.8431,5.9918,6.0001,1.6052,1.5088,1.6158,1.4975
31 Aug 2000,5.8103,5.8606,5.9908,6,1.6478,1.491,1.6364,1.4548
30 Sep 2000,5.7798,5.765,6.0134,6.0313,1.6471,1.4355,1.6747,1.4783
31 Oct 2000,5.7482,5.727,5.9957,5.9844,1.6994,1.4511,1.7138,1.4521
30 Nov 2000,5.6833,5.6396,5.9512,5.8907,1.6664,1.4256,1.629,1.4182
31 Dec 2000,5.6229,5.6113,5.8742,5.7813,1.6302,1.4625,1.5938,1.495
31 Jan 2001,5.4852,5.4937,5.8502,5.8282,1.5753,1.4769,1.5714,1.4616
28 Feb 2001,5.4582,5.3881,5.7305,5.6407,1.5786,1.4529,1.568,1.4421
31 Mar 2001,5.2286,5.2231,5.566,5.6407,1.5901,1.4454,1.609,1.4217
30 Apr 2001,5.1158,5.0461,5.3843,5.3438,1.6084,1.435,1.6141,1.4309
31 May 2001,4.9765,4.9599,5.2089,5.2501,1.6304,1.4259,1.6772,1.4201
30 Jun 2001,4.991,5.036,5.1429,5.1719,1.6434,1.4014,1.6599,1.4066
31 Jul 2001,5.0052,4.9775,5.1607,5.1719,1.6433,1.4139,1.63,1.4254
31 Aug 2001,4.7198,4.6553,4.9205,4.8282,1.5955,1.4365,1.5968,1.4505
30 Sep 2001,4.4297,4.2828,4.7266,4.6407,1.606,1.4635,1.6134,1.4699
31 Oct 2001,4.1567,4.1157,4.4369,4.2188,1.6024,1.4517,1.6144,1.4541
30 Nov 2001,3.7799,3.7711,3.9183,3.9688,1.6166,1.4358,1.5926,1.4259
31 Dec 2001,3.8296,3.8333,3.986,4.0469,1.6151,1.4409,1.6348,1.4556
31 Jan 2002,3.8321,3.8597,3.9482,3.9688,1.6222,1.4323,1.6416,1.4134
28 Feb 2002,3.868,3.888,3.9453,3.9375,1.6348,1.4231,1.635,1.4142
31 Mar 2002,3.9672,4.0002,4.0055,3.9688,1.6224,1.4225,1.6324,1.4241
30 Apr 2002,3.9693,3.9409,4.0551,3.9375,1.6282,1.4434,1.617,1.4573
31 May 2002,3.9525,4.001,3.9268,3.9688,1.5914,1.4593,1.5661,1.4633
30 Jun 2002,3.9767,3.9311,3.9149,3.9219,1.5515,1.4863,1.545,1.5258
31 Jul 2002,3.8408,3.7153,3.8438,3.8594,1.5665,1.5546,1.5935,1.5618
31 Aug 2002,3.7663,3.8193,3.9018,3.9219,1.5723,1.5377,1.5775,1.547
30 Sep 2002,3.7861,3.7742,3.9152,3.875,1.5861,1.5561,1.5908,1.5726
31 Oct 2002,3.7509,3.6907,3.9042,3.8594,1.5868,1.5574,1.5798,1.5645
30 Nov 2002,3.8033,3.8269,3.8817,3.93,1.5694,1.5723,1.5642,1.5559
31 Dec 2002,3.8418,3.8427,3.9415,3.97,1.5566,1.5863,1.5342,1.6095
31 Jan 2003,3.7993,3.754,3.905,3.9,1.5222,1.6169,1.5312,1.6437
28 Feb 2003,3.4993,3.459,3.703,3.66,1.4924,1.6085,1.4613,1.5751
31 Mar 2003,3.4721,3.4814,3.6262,3.63,1.4649,1.5836,1.4484,1.5805
30 Apr 2003,3.4537,3.4432,3.6148,3.59,1.4505,1.5747,1.4326,1.598
31 May 2003,3.4366,3.4099,3.597,3.625,1.403,1.623,1.3933,1.638
30 Jun 2003,3.4724,3.468,3.6062,3.605,1.4234,1.6606,1.4371,1.6502
31 Jul 2003,3.3119,3.3346,3.4154,3.365,1.4277,1.6242,1.4282,1.6075
31 Aug 2003,3.3998,3.4949,3.4095,3.52,1.4286,1.595,1.4411,1.5815
30 Sep 2003,3.5239,3.5591,3.5948,3.625,1.4338,1.6131,1.4268,1.6614
31 Oct 2003,3.6514,3.7781,3.6011,3.69,1.4334,1.6787,1.4594,1.6972
30 Nov 2003,3.808,3.8201,3.747,3.725,1.4426,1.6901,1.435,1.72
31 Dec 2003,3.8298,3.739,3.8207,3.865,1.4246,1.7507,1.4197,1.7905
31 Jan 2004,3.8983,3.917,3.8381,3.905,1.4447,1.8234,1.4651,1.8202
29 Feb 2004,3.9788,4.033,4.0165,4.04,1.4774,1.8673,1.4927,1.8556
31 Mar 2004,4.1025,4.171,4.0885,4.13,1.489,1.8267,1.4953,1.8379
30 Apr 2004,4.1862,4.228,4.129,4.18,1.5022,1.8005,1.4793,1.7735
31 May 2004,4.34,4.448,4.3453,4.38,1.4894,1.7876,1.5016,1.8336
30 Jun 2004,4.5793,4.619,4.508,4.555,1.505,1.8275,1.4905,1.8137
31 Jul 2004,4.6424,4.714,4.5716,4.7,1.5023,1.8429,1.5107,1.8187
31 Aug 2004,4.7218,4.732,4.7817,4.79,1.4933,1.8216,1.4803,1.7992
30 Sep 2004,4.6937,4.6795,4.7868,4.78,1.4676,1.7922,1.457,1.8094
31 Oct 2004,4.679,4.679,4.7643,4.76,1.4455,1.8065,1.4406,1.8324
30 Nov 2004,4.6578,4.64,4.757,4.765,1.4311,1.8603,1.4383,1.9119
31 Dec 2004,4.677,4.691,4.7745,4.795,1.4401,1.9275,1.4127,1.9199
31 Jan 2005,4.6568,4.654,4.7703,4.76,1.4331,1.8764,1.4466,1.8859
28 Feb 2005,4.6858,4.7346,4.7708,4.8,1.4499,1.8871,1.4507,1.9257
31 Mar 2005,4.7691,4.7594,4.8005,4.815,1.444,1.9078,1.4543,1.8904
30 Apr 2005,4.7047,4.6949,4.8012,4.81,1.4652,1.896,1.4795,1.91
31 May 2005,4.6618,4.648,4.7938,4.79,1.4611,1.8538,1.4761,1.8225
30 Jun 2005,4.6175,4.5179,4.7741,4.755,1.4952,1.8179,1.4804,1.7925
31 Jul 2005,4.4609,4.4304,4.6738,4.58,1.4547,1.7509,1.449,1.7607
31 Aug 2005,4.4057,4.382,4.535,4.525,1.4592,1.7943,1.4628,1.799
30 Sep 2005,4.4037,4.4004,4.5343,4.54,1.4761,1.8081,1.467,1.7688
31 Oct 2005,4.402,4.4238,4.5202,4.525,1.4674,1.764,1.4776,1.77
30 Nov 2005,4.4169,4.4003,4.528,4.535,1.4719,1.7341,1.4683,1.7304
31 Dec 2005,4.4287,4.4271,4.5775,4.605,1.4725,1.7462,1.4552,1.7166
31 Jan 2006,4.3906,4.4017,4.5298,4.525,1.4582,1.7678,1.4639,1.7775
28 Feb 2006,4.3839,4.3885,4.51,4.505,1.4637,1.747,1.4688,1.7511
31 Mar 2006,4.3956,4.4107,4.5115,4.525,1.45,1.7435,1.4332,1.7345
30 Apr 2006,4.4196,4.4502,4.5294,4.565,1.4402,1.7685,1.4432,1.8179
31 May 2006,4.5012,4.5129,4.6017,4.61,1.4637,1.8702,1.4571,1.8712
30 Jun 2006,4.5414,4.5352,4.6305,4.64,1.456,1.8428,1.4463,1.8494
31 Jul 2006,4.534,4.5768,4.6048,4.63,1.454,1.8447,1.4631,1.8671
31 Aug 2006,4.7544,4.7651,4.8243,4.875,1.4785,1.8944,1.4858,1.9018
30 Sep 2006,4.8359,4.8669,4.8693,4.915,1.4811,1.8847,1.4749,1.8682
31 Oct 2006,4.9357,4.9773,4.92,5.02,1.4869,1.8755,1.4943,1.9073
30 Nov 2006,5.0095,5.0444,5.0832,5.11,1.4834,1.9119,1.484,1.967
31 Dec 2006,5.0759,5.108,5.1984,5.22,1.486,1.9633,1.4841,1.957
31 Jan 2007,5.304,5.3662,5.3002,5.39,1.5079,1.9587,1.5063,1.9574
28 Feb 2007,5.3393,5.31,5.3845,5.385,1.4969,1.9581,1.4836,1.96
31 Mar 2007,5.3274,5.3808,5.3923,5.425,1.4703,1.9471,1.4733,1.9613
30 Apr 2007,5.4329,5.4721,5.4303,5.525,1.4713,1.9909,1.4654,1.9997
31 May 2007,5.5516,5.5896,5.6031,5.63,1.4677,1.9836,1.4702,1.9782
30 Jun 2007,5.6702,5.7699,5.67,5.825,1.4805,1.9864,1.4857,2.0064
31 Jul 2007,5.7742,5.7543,5.8633,5.865,1.4821,2.0338,1.4843,2.0322
31 Aug 2007,5.7943,5.7675,6.2195,6.5,1.4762,2.0111,1.4795,2.0171
30 Sep 2007,5.6896,5.6055,6.4108,6.08,1.4515,2.0185,1.4324,2.0374
31 Oct 2007,5.6058,5.5708,6.0107,5.975,1.437,2.0446,1.4358,2.0774
30 Nov 2007,5.4986,5.4435,5.9377,6.055,1.4106,2.0701,1.4006,2.0561
31 Dec 2007,5.3034,5.2388,6.4258,5.925,1.3863,2.0185,1.3619,1.9909
31 Jan 2008,5.1215,5.0106,5.5727,5.535,1.3383,1.9698,1.3428,1.9882
29 Feb 2008,5.0178,4.9772,5.5014,5.555,1.3316,1.9638,1.3104,1.9892
31 Mar 2008,4.8835,4.769,5.6605,5.75,1.2897,2.0032,1.2543,1.9875
30 Apr 2008,4.8258,4.8966,5.5295,5.445,1.258,1.9817,1.2718,1.9803
31 May 2008,4.9496,5.0379,5.4285,5.415,1.2633,1.9641,1.2716,1.9762
30 Jun 2008,5.1138,5.1022,5.4655,5.465,1.2636,1.9658,1.2632,1.9901
31 Jul 2008,5.0843,5.0851,5.3841,5.355,1.2615,1.988,1.2696,1.981
31 Aug 2008,4.9539,4.9386,5.35,5.335,1.2614,1.8889,1.2388,1.8237
