SERIES,DESCRIPTION
IUDBEDR,Official Bank Rate
IUDLUST,Daily average rate of discount - 3 month Treasury Bills - US Dollar
IUDVJND,Daily Eligible bills discount rate - 1 month
XUDLERS,Spot exchange rate - Euro into Sterling
XUDLUSG,Effective exchange rate index - US $ (1990 average = 100)
XUDLUSS,Spot exchange rate - US $ into Sterling
IUMABEDR,Monthly average of official Bank Rate
IUMALUST,Monthly average rate of discount - 3 month Treasury Bills - US Dollar
IUMAVJND,Monthly average of Eligible bills discount rate - 1 month
IUMBEDR,End month official Bank Rate
IUMLUST,End month level of discount rate - 3 month Treasury Bills - US Dollar
IUMVJND,End month level of Eligible bills discount rate - 1 month
XUMAERS,Monthly average Spot exchange rate - Euro into Sterling
XUMAUSG,Monthly average Effective exchange rate index - US$ (1990 average = 100)
XUMAUSS,Monthly average Spot exchange rate - US$ into Sterling
XUMLERS,End month Spot exchange rate - Euro into Sterling
XUMLUSG,End month Effective exchange rate Index - US$ (1990 average = 100)
XUMLUSS,End month Spot exchange rate - US$ into Sterling

DATE,IUDBEDR,IUDLUST,IUDVJND,XUDLERS,XUDLUSG,XUDLUSS,IUMABEDR,IUMALUST,IUMAVJND,IUMBEDR,IUMLUST,IUMVJND,XUMAERS,XUMAUSG,XUMAUSS,XUMLERS,XUMLUSG,XUMLUSS
02 Jan 2001,6,5.69,5.76,1.5788,112.5648,1.4956,,,,,,,,,,,,
03 Jan 2001,6,5.53,5.77,1.5913,112.5874,1.5047,,,,,,,,,,,,
04 Jan 2001,6,5.23,5.74,1.5807,113.027,1.4931,,,,,,,,,,,,
05 Jan 2001,6,4.99,5.72,1.5711,112.9803,1.4955,,,,,,,,,,,,
08 Jan 2001,6,5.06,5.72,1.5778,112.9429,1.4994,,,,,,,,,,,,
09 Jan 2001,6,5.1,5.72,1.5851,113.4618,1.4911,,,,,,,,,,,,
10 Jan 2001,6,5.15,5.74,1.5846,113.4467,1.4903,,,,,,,,,,,,
11 Jan 2001,6,5.17,5.74,1.5727,113.3899,1.4947,,,,,,,,,,,,
12 Jan 2001,6,5.19,5.83,1.5585,113.698,1.4784,,,,,,,,,,,,
15 Jan 2001,6,5.19,5.86,1.5694,114.4068,1.4787,,,,,,,,,,,,
16 Jan 2001,6,5.22,5.84,1.5629,114.1141,1.4702,,,,,,,,,,,,
17 Jan 2001,6,5.22,5.84,1.5831,114.6636,1.4729,,,,,,,,,,,,
18 Jan 2001,6,5.14,5.82,1.5624,114.2237,1.476,,,,,,,,,,,,
19 Jan 2001,6,5.1,5.82,1.5694,114.417,1.4685,,,,,,,,,,,,
22 Jan 2001,6,5.11,5.75,1.5615,114.2254,1.4609,,,,,,,,,,,,
23 Jan 2001,6,5.1,5.78,1.5656,114.088,1.4709,,,,,,,,,,,,
24 Jan 2001,6,5.14,5.77,1.5795,115.3463,1.4576,,,,,,,,,,,,
25 Jan 2001,6,5.14,5.83,1.5852,114.903,1.4589,,,,,,,,,,,,
26 Jan 2001,6,5.04,5.83,1.5797,114.872,1.4568,,,,,,,,,,,,
29 Jan 2001,6,4.99,5.75,1.5862,114.9341,1.4566,,,,,,,,,,,,
30 Jan 2001,6,4.89,5.75,1.5804,114.5246,1.4604,,,,,,,,,,,,
31 Jan 2001,6,4.86,5.75,1.5714,114.174,1.4616,6,5.1477,5.78,6,4.86,5.75,1.5753,113.9542,1.4769,1.5714,114.174,1.4616
01 Feb 2001,6,4.87,5.74,1.5717,113.205,1.4777,,,,,,,,,,,,
02 Feb 2001,6,4.93,5.75,1.5735,113.6944,1.4687,,,,,,,,,,,,
05 Feb 2001,6,4.96,5.75,1.5691,113.3278,1.4753,,,,,,,,,,,,
06 Feb 2001,6,4.94,5.79,1.5676,113.9202,1.4605,,,,,,,,,,,,
07 Feb 2001,6,4.94,5.79,1.5677,114.2712,1.4619,,,,,,,,,,,,
08 Feb 2001,5.75,4.95,5.77,1.5737,114.9728,1.4453,,,,,,,,,,,,
09 Feb 2001,5.75,4.93,5.65,1.5654,115.1589,1.4463,,,,,,,,,,,,
12 Feb 2001,5.75,4.93,5.65,1.5621,115.0955,1.4521,,,,,,,,,,,,
13 Feb 2001,5.75,4.92,5.65,1.576,115.4552,1.4517,,,,,,,,,,,,
14 Feb 2001,5.75,4.94,5.65,1.5898,115.3665,1.4601,,,,,,,,,,,,
15 Feb 2001,5.75,4.95,5.65,1.6045,115.8383,1.45,,,,,,,,,,,,
16 Feb 2001,5.75,4.89,5.62,1.5852,115.3275,1.4517,,,,,,,,,,,,
19 Feb 2001,5.75,4.89,5.64,1.5704,115.369,1.4459,,,,,,,,,,,,
20 Feb 2001,5.75,4.92,5.64,1.5892,115.748,1.4449,,,,,,,,,,,,
21 Feb 2001,5.75,4.89,5.64,1.5844,115.964,1.4447,,,,,,,,,,,,
22 Feb 2001,5.75,4.88,5.58,1.5935,116.0733,1.4465,,,,,,,,,,,,
23 Feb 2001,5.75,4.77,5.55,1.6052,116.0548,1.4487,,,,,,,,,,,,
